,feature1,feature2,feature3,feature4,feature5
0,"('eje', -0.07049784344210851)","('paz', -0.05019394054562809)","('corporacion', -0.040397988850507056)","('erradicacion', -0.04003535057147424)","('ano', -0.011609331791727323)"
1,"('nos', -0.0038796137387239484)","('asi', 0.003440158672981911)","('igual', -0.0019933776361178573)","('izquierda', 4.4539743399290255e-05)","('de', -3.611215255216731e-05)"
2,"('ciudad', -0.01577595925700985)","('asco', 0.015363587420349052)","('drogas', -0.010588620730099122)","('hpta', -0.010553161018101592)","('luis', 0.005541392647967695)"
3,"('pero', 0.0)","('esto', 0.0)","('esta', 0.0)","('prohibido', 0.0)","('normas', 0.0)"
4,"('bus', 0.0019201581456763173)","('nivel', -0.0013225783952089986)","('mal', 0.0011869459468646171)","('ser', 0.0008421295539905012)","('bien', -0.0005087036774729275)"
5,"('ano', -0.0008471205972389794)","('corrido', -8.023932431189777e-08)","('lo', -7.453587232748195e-08)","('del', -6.869982645502081e-08)","('en', 3.508345609887682e-08)"
6,"('ramon', -0.010436114849193386)","('tribunal', -0.01035613921850955)","('superior', -0.007059267636072168)","('los', -0.001149437128259935)","('efectuado', -0.00028699862546565036)"
7,"('mujer', 0.0006750070109463113)","('capital', 0.00025998508708025345)","('corrupcion', -0.00023310791170538166)","('claramente', 2.0229451703777906e-06)","('fue', -9.38340998215732e-07)"
8,"('ningun', 0.004395792072166438)","('nos', -0.0042733494524218475)","('favor', -0.003206431007997867)","('habla', 9.468959979422714e-05)","('localidades', -7.700824893857068e-05)"
9,"('son', -0.00603559360699097)","('asco', 0.004024720710346805)","('grafitis', 0.002823963554374655)","('dan', 0.0020205288070520213)","('cai', 0.0015730219997616283)"
10,"('fleteo', 7.496281975472067e-32)","('que', -4.0634230117772207e-32)","('comerciante', 2.782509657507458e-32)","('joyitas', 1.328025607408407e-32)","('denuncia', 8.265477799462267e-33)"
11,"('sexual', 0.0017001228851820254)","('anos', 0.0006549893808392657)","('los', -0.00014966738089293913)","('a', 8.924003440789101e-06)","('se', 6.262679429862982e-06)"
12,"('son', -0.008443801830676693)","('asi', 0.003935107300143296)","('plan', 0.00332715720531311)","('lugar', 0.0022836590979370894)","('capital', 0.000402360693568627)"
13,"('dia', -0.0020474891051183598)","('mujer', 0.0010290199491256888)","('los', -0.00035440086196195645)","('rodriguez', -0.0003533002109054227)","('defensora', 5.4766892121379874e-06)"
14,"('fontibon', -0.028399458961884377)","('persecucion', -0.017874024195940152)","('atencion', -0.010479826254666065)","('los', -0.0016704647899139795)","('hurtos', 0.0006511460818520136)"
15,"('militar', 0.005655611312004163)","('unal', -0.0037777630496902696)","('anos', 0.0010275163542280818)","('vez', 0.000996761857558903)","('ahi', 0.00032064113260028246)"
16,"('uneb', -0.011610777849835127)","('inclusion', -0.011345146208242294)","('favor', -0.008639947404839775)","('mundial', -0.001438080352439516)","('los', -0.001229329262626502)"
17,"('vias', -0.0035173253422282817)","('los', -0.00044023599739531204)","('las', -3.880055875361506e-06)","('con', 2.9560687410528286e-06)","('el', 2.8840801262182674e-06)"
18,"('dic', 0.003015113438112826)","('concejal', -0.0019614813663780327)","('nov', 0.0009478327577274548)","('loc', 0.00022674077638995023)","('entre', 4.988676775806571e-05)"
19,"('feliz', -0.05420867402028853)","('hdp', -0.053211639526949094)","('celular', -0.027701716239432333)","('y', 0.0012920057207898858)","('no', 0.0011530212128495643)"
20,"('drogas', -0.0053307186535075796)","('alcohol', -0.0027468477808794693)","('calle', 2.4898852906390548e-05)","('consumo', 1.4534234843243918e-05)","('oportunidades', 1.3896775826739024e-05)"
21,"('ciudad', -0.008419208947538183)","('fin', 0.004841075738712443)","('van', -0.0018021500700998293)","('los', -0.0006241845286449004)","('se', -0.00011569420906724192)"
22,"('veo', -0.0010603355356351234)","('buses', -2.5074139870035307e-07)","('mismos', -2.435191531366136e-07)","('esos', -2.1687314533664492e-07)","('en', -1.6609659788097427e-07)"
