,feature1,feature2,feature3,feature4,feature5
0,"('mujer', 0.19415286931690495)","('ano', 0.06755126697992976)","('alli', 0.0629400115505141)","('paz', 0.02285053107602966)","('de', -0.0005148570479557443)"
1,"('igual', 0.018714783034566508)","('asi', 9.56264103437969e-05)","('algo', 2.3830369043017276e-05)","('por', -1.5378883772967285e-05)","('no', -1.0748769101190903e-05)"
2,"('ciudad', -0.03751316754042284)","('aqui', 0.036003488719711575)","('luis', 0.011296078940856963)","('asco', -0.010186041658235959)","('garzon', -0.0076038001272927805)"
3,"('prohibido', 8.787323459933334e-33)","('normas', -3.168456430030623e-33)","('pero', 2.888097520799617e-33)","('esta', 2.6745487330589456e-33)","('esto', 9.788495472460446e-34)"
4,"('mal', -0.04731760680275178)","('bus', -0.046534713558344945)","('ser', 0.03152851944423703)","('bien', 0.01566804806474807)","('nivel', -0.015531844141928835)"
5,"('ano', 0.05216780370833784)","('lo', 8.519749036942898e-06)","('del', 5.982565460045076e-06)","('en', 1.377345974343594e-06)","('corrido', 1.2590849424301269e-06)"
6,"('superior', -0.018888117121453683)","('mas', 0.014809932032017106)","('ramon', 0.002746490859569944)","('tribunal', 0.002682534885508264)","('de', 6.006457970809594e-05)"
7,"('mujer', 0.07766005672244145)","('capital', 0.05224316571147268)","('corrupcion', -0.036767399609223296)","('complice', 0.0005211189088722971)","('un', -0.0003712808518014182)"
8,"('favor', 0.034795207919529086)","('ningun', -0.03370053549672613)","('por', 7.981940301386607e-05)","('lado', 7.78300711599524e-05)","('nos', -6.347684870567064e-05)"
9,"('dan', -0.020347033323548844)","('son', -0.019314416355986918)","('cai', -0.00888522660561473)","('grafitis', -0.004830094734971273)","('asco', -0.0036595520639451707)"
10,"('comerciante', 1.6477452655176442e-32)","('joyitas', 1.4574034555282744e-32)","('denuncia', 8.887849041241124e-33)","('que', 7.347306843321422e-33)","('fleteo', -5.0934139392408587e-33)"
11,"('sexual', 0.06476987600784102)","('anos', -0.020897320810148327)","('los', -0.0002941862351663142)","('denuncias', 0.00019401319501208196)","('registraron', 0.00012749579006388198)"
12,"('plan', 0.05075016471258321)","('capital', 0.04164968759922277)","('lugar', -0.037104321344955185)","('son', -0.015007516423084214)","('asi', -0.0038171840350420625)"
13,"('mujer', 0.19230686075260445)","('rodriguez', 0.057658210302746024)","('mas', 0.026674037200971428)","('dia', -0.0035621114889758457)","('los', 0.0010631609151321695)"
