,feature1,feature2,feature3,feature4,feature5
0,"('mujer', 0.23219793263160401)","('ano', 0.07328069842286697)","('alli', 0.07152822068636011)","('paz', -0.06792905389762892)","('eje', -0.03184739668938656)"
1,"('asi', 0.03978008865657423)","('igual', 0.03728269464185931)","('izquierda', -0.00018086861382559245)","('las', -0.0001479444435447251)","('consecuencias', -0.0001413079907496464)"
2,"('luis', 0.03461895777533045)","('ciudad', -0.025283097101210204)","('hpta', -0.01887944791678648)","('aqui', 0.01450280209015198)","('desorden', 0.011298602985195952)"
3,"('normas', -6.793299833992796e-33)","('esto', 5.655458821806138e-33)","('esta', 5.345227573892729e-33)","('prohibido', 3.958872862332139e-33)","('pero', 2.4220925774334357e-33)"
4,"('mal', -0.06274588436614915)","('bus', -0.0536037867821056)","('ser', 0.048143868720563386)","('unas', -0.019097546722591327)","('nivel', -0.012300976575333434)"
5,"('ano', 0.10699063260427372)","('del', 1.1953802070633765e-05)","('en', 1.054138957538645e-05)","('lo', 1.0325214867495965e-05)","('corrido', 9.669491538301459e-06)"
6,"('superior', -0.08143613519235514)","('mas', 0.028569166953117148)","('tribunal', 0.022177099573168536)","('ramon', 0.021641495143211155)","('los', 0.011936880468655339)"
7,"('corrupcion', -0.12488368405097766)","('mujer', 0.11997396127744256)","('capital', 0.10765452362869585)","('a', -0.0014772001855103036)","('ud', 0.0010745725827526972)"
8,"('favor', 0.16932236977647594)","('ningun', -0.12379519150477265)","('varias', 0.0016358921433891193)","('nos', 0.0013936221457145786)","('por', 0.0013464274832019829)"
9,"('cai', -0.02382000728400135)","('dan', -0.023788613147106796)","('son', -0.021069413386266007)","('asco', 0.003951686508565033)","('grafitis', -0.002664074110075685)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('sexual', 0.14496713275340325)","('anos', -0.07842914136170194)","('los', 0.01542844243288482)","('se', 0.0007405034396924006)","('a', 0.0007289285206869723)"
12,"('plan', 0.13365388751539886)","('capital', 0.10553595663827993)","('lugar', -0.07629712781917704)","('son', -0.04841714477390327)","('asi', 0.0236980656536456)"
13,"('mujer', 0.28415774429205454)","('rodriguez', 0.15502306797740034)","('dia', 0.06282494238274614)","('los', 0.04406968719489529)","('mas', 0.027898949930857363)"
14,"('atencion', 0.46994892031967117)","('fontibon', -0.07846310960517584)","('persecucion', -0.055535300452263625)","('los', 0.03230204168594097)","('tierra', 0.0038009871522714754)"
15,"('ahi', 0.09896155520542421)","('anos', -0.057179069439207746)","('vez', 0.01881891142433511)","('unal', -0.007281739567475748)","('militar', 0.006460453371455572)"
16,"('inclusion', 0.31002021104927924)","('uneb', 0.1420511916227772)","('mundial', 0.14133076621934307)","('favor', 0.1279265198275128)","('mas', 0.046421139015316894)"
17,"('vias', 0.02936972718589126)","('los', 0.02351385771893616)","('seguros', 0.00019147790587207013)","('cumplimiento', -0.00010754088181745425)","('de', -9.183135062451897e-05)"
18,"('dic', -0.04109059746889509)","('loc', -0.028438803850717186)","('nov', -0.008867666552360149)","('concejal', 0.0036087022462007296)","('segun', -0.001063554023199424)"
19,"('celular', 0.082902206648993)","('hdp', -0.07232462806554969)","('feliz', 0.06710654723979474)","('por', -0.00048555916691492464)","('intento', -0.0004721897454733811)"
20,"('alcohol', -0.0741131801949784)","('s', -1.798494170004528e-05)","('en', -1.674469389132848e-05)","('u', -1.5750351221320168e-05)","('eloina', -1.53931579063876e-05)"
21,"('fin', 0.4834920745169667)","('ciudad', -0.08780186148199694)","('van', 0.07483911120578564)","('los', 0.045689588023500025)","('a', 0.0020461182154183286)"
22,"('veo', -0.025017404955048988)","('esos', -5.435893338812166e-06)","('mismos', -4.7650414750101685e-06)","('buses', -3.880581774997215e-06)","('en', -2.910605267445884e-06)"
23,"('kennedy', 0.08658975088420359)","('pan', -0.040030727972703156)","('dia', 0.015989482233359057)","('lideres', 0.009758871877418755)","('atracadores', 0.0003848023764006755)"
24,"('ver', -0.05179642988620262)","('estas', -0.042179571710902995)","('cartel', 0.041248985254643704)","('son', -0.04049236109289579)","('los', 0.0054963574166663285)"
25,"('bus', -0.08952926205136012)","('celular', 0.05951016647800498)","('tres', 0.006510917513089115)","('vida', -0.00041119634067270084)","('masadelante', -0.0003180052750940103)"
26,"('mujer', 0.1285895163666873)","('veo', -0.0496045311816826)","('los', 0.01928796890038795)","('mas', 0.01030935156836842)","('las', 0.0006968228600515643)"
27,"('de', 9.575119931507408e-33)","('nuevo', 3.6290815491953e-33)","('caso', -2.98292689179901e-33)","('intento', -1.5684358388920214e-33)","('denuncian', 3.470177021738614e-34)"
28,"('esta', -6.750576856745363e-33)","('propietario', 6.568557373551998e-33)","('el', 6.378435207111759e-33)","('muy', -3.277064665483096e-33)","('seguramente', 2.910144226277235e-33)"
29,"('celular', 0.0724112763234139)","('a', 1.6138451803651122e-05)","('uno', 1.4062955505954175e-05)","('cuando', 1.3607477981308693e-05)","('lo', 1.203450101074215e-05)"
30,"('comparacion', 0.478834429521558)","('los', 0.09431263030149083)","('tal', -0.08235446299953687)","('anos', -0.055459612611494534)","('ver', -0.054892136590589474)"
31,"('mas', 0.008973312223784976)","('que', 2.6512577143167794e-06)","('encantaria', 2.5441627350307276e-06)","('me', 1.8976097591157566e-06)","('cada', 1.749357908058357e-06)"
32,"('van', 0.0387881556520262)","('homofobia', 1.0193459754015012e-05)","('de', 9.746536558770716e-06)","('victimas', 8.447626774649806e-06)","('hay', 7.279320680000354e-06)"
33,"('via', -0.03651025544924205)","('cai', -0.031401036708347714)","('tweet', -0.008659687509615835)","('los', 0.0034043940842229444)","('grafitear', -0.0013010770011154939)"
