,feature1,feature2,feature3,feature4,feature5
0,"('mujer', -0.02385420887883163)","('paz', -0.018303840050115882)","('ano', -0.008364362766001837)","('erradicacion', 0.0062349320574047115)","('corporacion', 0.006221445910060653)"
1,"('asi', -0.03481471804880532)","('nos', 0.01501838766230407)","('igual', -0.0064554087897363685)","('se', -0.0005641822187912289)","('bogota', 0.0004894645182384791)"
2,"('hpta', 0.28077142159599544)","('asco', 0.20247096750831953)","('desorden', 0.18112436843767546)","('garzon', 0.15720709008275588)","('luis', 0.1352839856035166)"
3,"('normas', 3.6639224863403156e-33)","('esta', -1.3752331932544794e-33)","('prohibido', -1.0121012044640356e-33)","('pero', 7.461459556488916e-34)","('esto', -3.507176523700424e-34)"
4,"('mal', -0.005839478201619465)","('bus', -0.00515255405611994)","('bien', -0.003769679894572614)","('ser', -0.002918312572794103)","('indignacion', 0.0016118607107319272)"
5,"('ano', -0.016158689859658588)","('lo', -1.2681130115108698e-06)","('en', -1.1008846820817739e-06)","('del', -1.0519466723993667e-06)","('corrido', -4.5417191653333415e-07)"
6,"('mas', -0.18537696876319873)","('ramon', 0.16923614479058025)","('tribunal', 0.16689377000561295)","('superior', 0.06344152030633182)","('los', 0.06032165607613633)"
7,"('mujer', -0.012159831424469737)","('capital', -0.005592724535956728)","('corrupcion', -0.003649151187457997)","('donde', -0.00017362049828510625)","('bogota', 0.0001687302366414958)"
8,"('favor', -0.028510686345022098)","('ningun', -0.012509181338315915)","('nos', 0.008765209127914812)","('visto', 0.0006822987727646529)","('cuentan', -0.0005683193367126024)"
9,"('dan', -0.12658562500176898)","('son', 0.0871878627218333)","('asco', 0.08036305898730563)","('los', 0.03791738424444895)","('cai', 0.03147223367660955)"
10,"('que', 0.0)","('joyitas', 0.0)","('comerciante', 0.0)","('denuncia', 0.0)","('fleteo', 0.0)"
11,"('anos', -0.01944800600152002)","('sexual', -0.011328203559174828)","('los', 0.0069075703155079965)","('en', -0.00023992080487061557)","('a', 0.00018505375205714374)"
12,"('asi', -0.013424591431875741)","('capital', -0.005739147167651488)","('plan', -0.0043894088974080064)","('son', 0.004015496153314258)","('lugar', -0.002576173397763546)"
13,"('mujer', -0.014240057376258585)","('mas', -0.007929291986902233)","('dia', -0.006757756709424595)","('los', 0.002665928504634644)","('rodriguez', 0.001616196909464063)"
14,"('los', 0.04281755131135647)","('atencion', -0.033819241752028086)","('persecucion', 0.024908458652392797)","('fontibon', 0.012171867814137293)","('ladrones', 0.00041186136556831907)"
15,"('ahi', -0.008666915904331092)","('anos', -0.007955690657832887)","('vez', -0.005416745373733639)","('militar', -0.004769157432042738)","('unal', 0.00467277189894095)"
16,"('mas', -0.028049852136428455)","('favor', -0.018328835179554075)","('los', 0.004614935672358868)","('uneb', 0.003018217570191892)","('las', -0.0010010587507708235)"
17,"('vias', -0.028272956936890612)","('los', 0.009661765088711369)","('entre', 0.0002038777554196104)","('ninos', 0.00018503853133385563)","('en', -0.00016398792498328724)"
18,"('dic', -0.017720810701775558)","('concejal', -0.008774478709779305)","('nov', 0.002344128016152864)","('de', -0.0003245997896011317)","('sigue', 0.0002277564712278541)"
19,"('celular', -0.02023164143033958)","('hdp', 0.00983926149167358)","('feliz', 0.004733334025150965)","('una', 0.00025554035580162347)","('de', 0.0002312920074626519)"
20,"('drogas', 0.02742163856154837)","('alcohol', -0.02149394112388772)","('falta', 0.0002220849962638753)","('o', -0.00015633712381289314)","('ni', 0.00015063789084480926)"
21,"('van', -0.014473391897347662)","('fin', -0.012233109207857055)","('los', 0.005400593077609061)","('ciudad', -0.0029023464060457236)","('por', 0.000404288794426383)"
22,"('veo', -0.009315137073414527)","('esos', -1.7982006151311925e-06)","('en', -1.7091227340952804e-06)","('mismos', -1.5174840531573905e-06)","('buses', -1.3949546736357793e-06)"
23,"('lideres', 0.06351959774494365)","('dia', -0.05948613590965861)","('kennedy', -0.04218629227668588)","('pan', 0.008549459787492915)","('delincuentes', 0.0015239290427074823)"
24,"('cartel', 0.23212906897950816)","('farc', 0.09978860226396519)","('vean', 0.09956521022520923)","('son', 0.09858053967608912)","('los', 0.07767768137715282)"
25,"('bus', -0.020554973775093317)","('hombre', 0.00574933826921791)","('tres', -0.005005248158269126)","('celular', -0.0046819164684187686)","('vida', -0.00032534996375353537)"
26,"('mujer', -0.013346675647014068)","('mas', -0.012352838920458926)","('los', 0.00398410905217114)","('veo', -0.0035822335553872004)","('verdad', -0.0004119698741284847)"
27,"('de', 1.8753119542790815e-33)","('nuevo', 1.5657505753092253e-33)","('intento', 9.960283474302353e-34)","('caso', 4.55154549867863e-34)","('denuncian', 3.330387585592177e-34)"
28,"('seguramente', 1.575682280801942e-33)","('muy', 1.562903061833552e-33)","('esta', 1.0530201728699756e-33)","('el', 8.12995897855534e-34)","('propietario', -2.738347702471326e-34)"
29,"('celular', -0.009841015842615729)","('cuando', -2.2876694761935254e-06)","('lo', -2.2717589523048605e-06)","('a', -1.503965688589599e-06)","('uno', -1.1642350705270128e-06)"
30,"('anos', -0.03171420812913763)","('tal', 0.03148594651961494)","('sin', -0.02851730689746203)","('los', 0.02833257615063578)","('ver', -0.0041842689774013175)"
31,"('mas', -0.022449148699338155)","('que', -6.469218168324078e-06)","('me', -5.771953160195757e-06)","('cada', -4.364388681238879e-06)","('encantaria', -4.285626723121618e-06)"
32,"('van', -0.020853714984123622)","('victimas', -5.324917618241094e-06)","('de', -4.721395316498339e-06)","('homofobia', -4.651337812410172e-06)","('hay', -4.164384473007578e-06)"
33,"('via', -0.062494993049781164)","('los', 0.0142666616315641)","('demostracion', 0.013762626120834773)","('cai', 0.00974404033834017)","('tweet', 0.006331604259528385)"
34,"('gran', -0.01249053714194296)","('son', -0.009286757392880445)","('minimo', 9.810087492800247e-05)","('es', 8.685719048008843e-05)","('causadas', 8.511730337575859e-05)"
35,"('los', 0.017300610879267254)","('en', 3.430584177326498e-06)","('es', 3.345843953451053e-06)","('bogota', 3.0513088920165095e-06)","('movilizarse', 2.7463337633117992e-06)"
36,"('vial', -0.02007499386981537)","('los', 0.009725633135320334)","('ciudad', -0.008038854258277866)","('implementadas', -0.00017965357837118666)","('las', 0.00015791219863500413)"
37,"('menor', -0.01617948127046643)","('con', -2.8433838905453266e-06)","('fue', -2.6420339703047583e-06)","('atacado', -2.2852333529464712e-06)","('tijeras', -1.5004454472531484e-06)"
38,"('en', 0.0)","('trabajamos', 0.0)","('para', 0.0)","('que', 0.0)","('las', 0.0)"
39,"('esmad', -0.028024937906702824)","('usen', 0.0024606973189905583)","('se', 5.163692002283063e-05)","('que', 4.732984617767895e-05)","('tanto', 3.841074677371611e-05)"
40,"('menor', -0.009362022336978306)","('capital', -0.008594409837887543)","('horror', -0.002649009628792647)","('en', -0.00019668750558921944)","('la', -0.00011909111847093478)"
41,"('arma', -0.00935388508152957)","('ruin', 0.0038213659103870845)","('insulto', -3.653515094878581e-05)","('el', -2.1819990733355034e-05)","('al', 1.843887718025204e-05)"
42,"('los', 0.0155245685672089)","('ciudad', -0.010108232799828377)","('precauciones', -4.8048730307616015e-05)","('para', 3.733863232325862e-05)","('tomar', -3.0524926757865376e-05)"
43,"('como', 3.0646337711134286e-33)","('dira', 2.180095876782032e-33)","('policia', -1.8750711286409986e-33)","('que', 1.3830465141385458e-33)","('la', 7.23326412191706e-34)"
44,"('estan', -0.009698608210666806)","('bus', -0.008801806379995154)","('buen', -0.006892155711345622)","('los', 0.002741910519223061)","('infringen', 0.0003808632054143432)"
45,"('bici', -0.025362235024256427)","('los', 0.008151732525191248)","('ciudad', -0.00551246514923555)","('porque', 0.0003006258870891196)","('a', -0.0001833467098326614)"
46,"('mas', -0.026019184785987654)","('los', 0.007742816580073196)","('hp', -0.005082061149539872)","('lado', -0.00021317037652541647)","('ya', 0.00019136855024313995)"
47,"('mas', -0.005940071189669528)","('mil', -0.004713453718363355)","('ano', -0.003541679120268465)","('paz', -0.0032455726981993325)","('sido', -0.000200585476617193)"
48,"('movil', -0.04554635817080624)","('los', 0.024246855247270133)","('licor', 0.015031397899842024)","('interior', -0.007082129656581198)","('hecho', 0.0008561476368510007)"
49,"('informacion', -0.0200847930198356)","('los', 0.011228560019113102)","('afecta', -0.00012351570268674146)","('recomendaciones', 9.871495984308388e-05)","('prevenir', 9.124299611260435e-05)"
50,"('desorden', 0.10383808052561491)","('drogas', 0.07192420128926214)","('los', 0.046719075588577276)","('ciudad', -0.03155810736115402)","('y', 0.0015429632884954901)"
51,"('sur', -0.012660714445747803)","('coronavirus', -0.007407538799123621)","('los', 0.003961759576510985)","('arma', -0.003551554420470401)","('celular', -0.003020640756695894)"
52,"('cali', -0.00784698459526937)","('pais', -0.007646114503403263)","('edad', -0.007484190131956024)","('medellin', 0.0014462534047946494)","('accidentes', 0.00010525860763863928)"
53,"('asi', -0.015291297723711118)","('sin', -0.00854674911337372)","('se', -0.0003600033272747885)","('manos', -0.0003261531142027498)","('las', 0.00027030527683626803)"
54,"('son', 0.02851450301681581)","('florez', 0.028468250702731904)","('medellin', 0.020921893677430425)","('universitaria', 0.000526217342584146)","('delincuentes', -0.00037112471436032043)"
55,"('vandalos', 3.988788790497692e-33)","('sociales', 1.9123480592112477e-33)","('inmundos', 1.807584237131484e-33)","('basofias', -8.439495351978596e-34)","('drogos', 5.586432483623258e-34)"
56,"('mil', -0.055823620465838296)","('tv', 0.019151625699922823)","('los', 0.018771801442694042)","('drogadiccion', 0.015931358598988896)","('actor', -0.013392114061866085)"
57,"('los', 0.017301206423002657)","('toxico', 2.508123082253519e-06)","('sobrepoblado', 2.176096637917504e-06)","('inseguro', 2.108591045938912e-06)","('un', 1.8292172687581052e-06)"
58,"('mal', -0.018813024859350238)","('corrupcion', -0.00910170739919586)","('antro', 0.0025044493904818475)","('drogadiccion', 0.0024038096056894958)","('y', 0.00014053213686671603)"
59,"('ladron', -0.007188334755835589)","('mujer', -0.007137772015886698)","('estacion', -0.004670697318509548)","('persiguia', -0.00025367199979370173)","('calle', -0.00021537328123940306)"
60,"('mujer', -0.04049661841925189)","('los', 0.006018202070289502)","('violentada', 0.00027137086531744557)","('ya', -0.00023254868979101056)","('minutos', -0.00017910407745740092)"
61,"('sexual', -0.0197010457298433)","('interpersonal', 0.011898894234957718)","('mujeres', -0.0001348921183661159)","('registraron', 8.939589056470371e-05)","('hasta', 6.925346020789613e-05)"
62,"('hoy', -0.0415407283347115)","('los', 0.03283846613913087)","('hp', -0.018490718500937496)","('educacion', -0.01700724372974763)","('superior', 0.012010749587907087)"
63,"('estan', -0.06952048619754662)","('ied', 0.0459179655608979)","('menor', -0.031963836880105435)","('aqui', 0.020857142530592364)","('edad', -0.019209168458494918)"
64,"('hoy', -0.006190973111170443)","('nacional', -0.004539358011581625)","('interior', -0.003793723104365189)","('institucion', -0.0021427400959458465)","('col', -0.0014395362325921191)"
65,"('fds', 0.028294088087402507)","('trancon', -0.02273137033966946)","('momentos', 0.00020018514802931626)","('que', 0.00018021058001783008)","('pesima', -0.00017785798207536693)"
66,"('dos', -0.026779290950558893)","('policia', -6.688611097296213e-06)","('de', -5.478988881299193e-06)","('la', -4.337517029884626e-06)","('auxiliar', -4.201677872499861e-06)"
67,"('dos', -0.025528284829607152)","('anos', -0.013820958042968392)","('vez', -0.009626792212157608)","('habitacion', 0.00843362360556476)","('aqui', 0.006970748921385518)"
68,"('celular', -0.007838679255838485)","('andar', -0.006375955762498663)","('robaron', -0.00010090185918491042)","('el', -5.426333052329462e-05)","('me', -5.313808330089523e-05)"
69,"('van', -0.03079579108108134)","('volver', 0.016359475818067154)","('drogadictos', 0.00033822231013285717)","('hacer', 0.00022449895516844255)","('de', -0.00021387069499740258)"
70,"('movil', -0.03218968326979316)","('son', 0.007871605724080773)","('bronx', 0.004288225833925562)","('ya', 0.00046657368375308076)","('que', -0.00026321499140938623)"
71,"('celular', -0.0323373777657156)","('los', 0.017101932138074576)","('adiccion', 0.010799385230714087)","('kawaii', 0.010571545612908377)","('grave', 0.0005599916127883486)"
72,"('ahi', -0.02431369319909158)","('los', 0.01992603794731385)","('sin', -0.018870987481084445)","('social', -0.00819625620426724)","('peor', -0.0037803476590866202)"
73,"('asi', -0.02481487774884856)","('temible', -3.9372284260609e-06)","('banda', -3.054248296432673e-06)","('la', -2.8446230079705934e-06)","('operaba', -1.4387982445020191e-06)"
74,"('cosquilleo', -6.6978362790069305e-34)","('banda', -5.334316916146538e-34)","('desarticulan', -5.3268835274976e-34)","('al', -4.777162767037966e-34)","('dedicada', -1.0608556168770257e-34)"
75,"('taponada', -1.048039903827255e-33)","('calle', -5.36451316755563e-34)","('semaforos', 5.200386921316465e-34)","('la', -3.037298592806693e-34)","('por', 2.0372833964730513e-34)"
76,"('nos', 0.04045348676000018)","('santi', 0.024658578585761263)","('haga', -9.17441772560959e-05)","('pueblo', -7.258827660995368e-05)","('el', -4.0769134252768796e-05)"
77,"('man', -0.03231117523821243)","('imbecil', 0.013788613689066998)","('seguir', 0.0006756746685362954)","('afortunadamente', 0.00040213341204958813)","('de', -0.00039479882595627394)"
78,"('van', -0.011994427296695974)","('usted', -0.011163909982594816)","('ano', -0.008010414215906788)","('los', 0.004892099694917306)","('com', 0.0013879229451970569)"
79,"('mas', -0.013002644192703004)","('ciudad', -0.008357795474066376)","('real', -0.0010638840032972496)","('del', -0.00029819640108994194)","('y', 0.00016034613959207836)"
80,"('hoy', -0.011906815255856988)","('ley', -0.006193449264842888)","('edad', -0.004295575403291223)","('yo', -0.00022297193862772421)","('y', 0.0001903890458724843)"
