,feature1,feature2,feature3,feature4,feature5
0,"('eje', -0.07286203827369114)","('paz', -0.053131258576851505)","('corporacion', -0.04495139795497694)","('erradicacion', -0.04386183271799)","('mujer', 0.013675519985766505)"
1,"('nos', -0.0038239746176783117)","('asi', 0.003363146057092411)","('igual', -0.001920530789499121)","('momento', 6.046715377233681e-05)","('de', -4.305213497698547e-05)"
2,"('ciudad', -0.01580549950992477)","('asco', 0.015047410508638899)","('hpta', -0.010653975407118366)","('drogas', -0.010613195543398676)","('garzon', 0.005561313214542688)"
3,"('pero', 0.0)","('esto', 0.0)","('esta', 0.0)","('prohibido', 0.0)","('normas', 0.0)"
4,"('bus', 0.0019137092761466465)","('nivel', -0.0013139791519615307)","('mal', 0.0011949768578680042)","('ser', 0.0008469918035099967)","('bien', -0.0005196713128800873)"
5,"('ano', -0.0008471313269347403)","('en', -8.202258575928576e-08)","('corrido', -7.65817920019858e-08)","('lo', -5.512111623145195e-08)","('del', -4.7484553287150804e-08)"
6,"('tribunal', -0.010394744708872743)","('ramon', -0.010338243568414868)","('superior', -0.006966254202531739)","('los', -0.0011042605022497788)","('ante', -0.000190914940189403)"
7,"('mujer', 0.0006759192079675811)","('capital', 0.00026036204625329946)","('corrupcion', -0.00023239605422991592)","('deje', 1.6911133177390207e-06)","('y', -9.54061409612439e-07)"
8,"('ningun', 0.004306399144685319)","('nos', -0.004242264698084848)","('favor', -0.0031435216213786016)","('que', -8.521619528603606e-05)","('localidades', -7.078157159685752e-05)"
9,"('son', -0.006217865373340218)","('asco', 0.004138648877772727)","('grafitis', 0.002977980471634888)","('dan', 0.002133985826520684)","('cai', 0.0015839990676795941)"
10,"('fleteo', -5.104310019554129e-32)","('joyitas', 4.571078741898591e-32)","('comerciante', 4.2620762081803835e-32)","('denuncia', 4.1376001975166965e-32)","('que', -3.951828341102763e-32)"
11,"('sexual', 0.0016944466986534015)","('anos', 0.0006602266625947177)","('los', -0.0001439304150775517)","('de', -7.643338693441321e-06)","('se', -7.274559646317321e-06)"
12,"('son', -0.008496663373337682)","('asi', 0.0038777567765961017)","('plan', 0.003374691691973235)","('lugar', 0.0022948127432888777)","('capital', 0.0005860374954197455)"
13,"('dia', -0.002039955942703242)","('mujer', 0.001020046965837436)","('los', -0.00035068481028999903)","('rodriguez', -0.000345358568032343)","('mas', 1.1359132855229675e-05)"
14,"('fontibon', -0.028804539425605503)","('persecucion', -0.017496491530627087)","('atencion', -0.01109264441567486)","('los', -0.0016635583663696563)","('una', -0.0003637655650634686)"
15,"('militar', 0.005704989808186565)","('unal', -0.003811632772736857)","('vez', 0.001191488710185159)","('anos', 0.001083919698082141)","('ahi', 0.00024283080713913654)"
16,"('inclusion', -0.011747468576846455)","('uneb', -0.011622438554628623)","('favor', -0.00846202766268448)","('los', -0.0012427931650004108)","('mundial', -0.0010096141645472541)"
17,"('vias', -0.003513639422646102)","('los', -0.00044421122265665155)","('febrero', 5.772426401287541e-06)","('con', -5.06950284093145e-06)","('de', -4.1263994393362435e-06)"
18,"('dic', 0.0030812440556633397)","('concejal', -0.0019748997457593297)","('nov', 0.0009800666482936945)","('loc', 0.00026895341771338764)","('policia', -3.186902160612727e-05)"
19,"('feliz', -0.05407923628486928)","('hdp', -0.05386972228281396)","('celular', -0.027597490895662168)","('de', 0.0007804477517438346)","('lograron', 0.0007275874458597656)"
20,"('drogas', -0.005338256105360721)","('alcohol', -0.0027443981965645445)","('no', 3.299480375779153e-05)","('oportunidades', -3.245270219408778e-05)","('s', 2.6415178822754012e-05)"
21,"('ciudad', -0.008356539108993092)","('fin', 0.004943896156047595)","('van', -0.001936262392124855)","('los', -0.0006804355929168614)","('la', 8.215793956852736e-05)"
22,"('veo', -0.0010603856544611073)","('buses', -2.380580924186964e-07)","('mismos', -2.033171509722861e-07)","('esos', -1.5977302909064458e-07)","('en', -1.3497221343529172e-07)"
23,"('lideres', -0.011377172966843496)","('pan', -0.011360107474504128)","('dia', -0.0071468022877936585)","('kennedy', -0.0032266316379831943)","('cada', -0.00023048246835110655)"
24,"('farc', 0.02318465624828688)","('son', -0.02192026103225829)","('cartel', -0.011762165956279932)","('estas', -0.0019702530870347734)","('vean', -0.0019489522395900087)"
25,"('bus', 0.003276077271347351)","('celular', -0.002536518002090673)","('tres', -0.0006513068939064038)","('hombre', -0.0003326263275684868)","('le', 3.6950954423024964e-05)"
26,"('veo', -0.0009788330739351216)","('mujer', 0.0008418668514239366)","('los', -0.0002892634756826618)","('mas', 8.75465806897073e-06)","('y', 3.0262305970138624e-06)"
27,"('denuncian', 0.0)","('nuevo', 0.0)","('caso', 0.0)","('de', 0.0)","('intento', 0.0)"
28,"('el', 7.019941008482196e-32)","('muy', 2.6079244598667614e-32)","('propietario', -1.0205821277973908e-32)","('seguramente', 9.82945062754168e-33)","('esta', 3.4091426340857413e-34)"
29,"('celular', -0.003237055031145884)","('lo', -7.227194779684346e-07)","('a', -6.592474327252101e-07)","('uno', -5.260736503930754e-07)","('cuando', -3.831818281749755e-07)"
30,"('tal', -0.010389409866358201)","('anos', 0.0030658489287666906)","('sin', 0.0013742199431932519)","('ver', -0.0007997071882534449)","('comparacion', -0.0007706210659599742)"
31,"('mas', 9.981657351100226e-06)","('cada', 2.8709648579668384e-09)","('me', 2.6800344000245152e-09)","('que', 2.6643823299504086e-09)","('encantaria', 1.766113574600574e-09)"
32,"('van', -0.0009390277131050994)","('de', -2.6552971472120656e-07)","('homofobia', -2.374515423130222e-07)","('hay', -2.287712754087897e-07)","('victimas', -1.9343310308585207e-07)"
33,"('tweet', -0.007815274265410328)","('cai', 0.0029839372326678705)","('via', -0.0009880643255086596)","('demostracion', -0.0006507080833502999)","('los', -0.0006135552108531276)"
34,"('son', -0.04974768605925274)","('gran', -0.03851186264846053)","('mismo', 0.0006441047274731153)","('de', 0.0006429061580007934)","('ese', 0.0005614709416526511)"
35,"('los', -0.0002765603174377678)","('bogota', -6.877822429855836e-08)","('movilizarse', -6.35426917513574e-08)","('es', -5.4954878978023614e-08)","('en', -5.115544833809467e-08)"
36,"('vial', -0.061455565540453436)","('ciudad', -0.047136461861915016)","('los', -0.0040827015486172465)","('de', 0.0009692211822267955)","('por', -0.0008885592756106981)"
37,"('menor', 0.0026738973416978243)","('fue', 5.07958493379175e-07)","('atacado', 4.139906451075521e-07)","('tijeras', 3.79050848620655e-07)","('con', 3.649248919861956e-07)"
38,"('en', -7.205247914108306e-32)","('trabajamos', -2.8525822841097083e-32)","('las', -2.6691458335497907e-32)","('para', 2.5040350699829947e-32)","('que', 2.501627426539093e-32)"
39,"('usen', -0.006054281652902556)","('esmad', -0.004461657295226848)","('estos', -8.78121666856987e-05)","('raaaattttto', 5.543705934331536e-05)","('esta', 4.3465731636847824e-05)"
40,"('menor', 0.003550622246299357)","('horror', -0.0011126057538267022)","('capital', 0.0002055918483103189)","('bogota', -3.130303383738619e-05)","('en', -2.067436079530016e-05)"
41,"('ruin', -0.006224327629067419)","('arma', 0.003149437000407383)","('personas', -5.71479692660514e-05)","('y', 5.600788667304621e-05)","('un', -4.6218622428624155e-05)"
42,"('ciudad', -0.009827387791416984)","('los', -0.0007349333638335562)","('es', -1.4561497492509363e-05)","('panico', 8.35459088235743e-06)","('genera', 8.233352052841714e-06)"
43,"('la', 0.0)","('policia', 0.0)","('dira', 0.0)","('que', 0.0)","('como', 0.0)"
44,"('bus', 0.0016863199431236702)","('estan', 0.0006234942854017137)","('los', -0.00017134648183983172)","('buen', -0.000166705117550305)","('ancianos', 1.246816873101796e-05)"
45,"('ciudad', -0.01418802630569977)","('bici', -0.007190450959313857)","('los', -0.0009687236353342245)","('no', -0.00012424829905140702)","('el', -0.00011621511958083257)"
46,"('hp', 0.0005276024049092842)","('los', -0.00025081322830447056)","('mas', 9.276470919122654e-06)","('revolucionarios', 1.1055903610942874e-06)","('tambien', -7.616454909721314e-07)"
47,"('paz', -0.006955411333153786)","('ano', -0.0017826797328711415)","('mil', -0.0006348250381856423)","('mas', 4.567065643941373e-05)","('han', 1.806891517964707e-05)"
48,"('interior', 0.02512203737761661)","('licor', -0.018663484219395392)","('movil', -0.011141354046966737)","('ese', -0.0009065715480617695)","('que', -0.0006690556006676046)"
49,"('informacion', 0.0010761410696184187)","('los', -0.0002268279662756558)","('convivencia', 1.5605498721569812e-06)","('la', -1.1542901343553912e-06)","('para', -6.967737996711278e-07)"
50,"('ciudad', -0.01773669673023548)","('drogas', -0.01191202640053766)","('desorden', -0.0013901988598272515)","('los', -0.0013010218800346728)","('calles', 0.00019806173054291867)"
51,"('celular', -0.004178979627405788)","('sur', -0.004142703079159761)","('arma', 0.003440824696338749)","('coronavirus', -0.0005493173451450407)","('los', -0.0004961182871439789)"
52,"('edad', 0.001630872821896246)","('medellin', 0.001127523924654905)","('pais', -0.0006420455923308154)","('cali', -0.00016352114337819703)","('transito', -1.6143565095040634e-05)"
53,"('manos', 0.0011344455221853648)","('asi', 0.0009922209439443778)","('sin', 0.0002633440389081547)","('vendedores', 1.283370777427969e-05)","('de', -1.0505537266014247e-05)"
54,"('son', -0.015762394047517874)","('medellin', 0.0059338799443298005)","('florez', -0.0008997504586938828)","('estudiantes', -0.00014460262599614326)","('ya', 0.0001278617937582283)"
55,"('drogos', 2.9491496703129534e-31)","('vandalos', 1.4151601413917352e-31)","('inmundos', 1.377987487998607e-31)","('basofias', 1.2614379357720084e-31)","('sociales', 1.2331797753776663e-31)"
56,"('son', -0.05247385436759967)","('actor', -0.029087084935384144)","('formacion', -0.028390650711928013)","('drogadiccion', 0.013961877200070288)","('tv', -0.0040006563979083885)"
57,"('los', -0.00027655848264594057)","('toxico', -6.126060398630581e-08)","('un', -5.901738126831524e-08)","('sobrepoblado', -4.565715248194827e-08)","('inseguro', -3.028573895187594e-08)"
58,"('mal', 0.0008951041457514511)","('drogadiccion', 0.0006789937418567484)","('antro', 0.0006786350706475146)","('corrupcion', -0.00013830489834137672)","('de', 9.336646260700897e-06)"
59,"('ladron', 0.0009056343956207119)","('estacion', 0.0007077644252757914)","('mujer', 0.00043346497895195563)","('por', 8.18608252731524e-06)","('el', 5.990062227682978e-06)"
60,"('mujer', 0.0007113960350682583)","('los', -0.0002422907160684672)","('hija', -8.242553099469857e-07)","('siendo', -5.780864442760848e-07)","('hermana', -5.640741721362147e-07)"
61,"('sexual', 0.002040921478475263)","('interpersonal', -0.00018009187039453136)","('se', 4.627827450844628e-06)","('finales', -1.2643228072494478e-06)","('registraron', -1.1623519572349648e-06)"
62,"('superior', -0.0023133101319448416)","('educacion', -0.0018028032025879887)","('hoy', 0.001515817593250257)","('hp', 0.0008270345779312262)","('los', -0.0003839175013564379)"
63,"('menor', 0.0025402163831182486)","('ied', -0.0013389545823804213)","('edad', 0.0011701499058002652)","('cai', 0.000619129736322648)","('estan', 0.0004889096194930021)"
64,"('col', 0.0007889473370048721)","('interior', 0.0006879993616818265)","('institucion', 0.000549471527135935)","('hoy', 0.00012870966939018108)","('deberia', 4.861217633397492e-05)"
65,"('trancon', 0.0032443015759748505)","('fds', -0.0027624236326532544)","('dorado', 4.770915228492973e-05)","('las', -3.576315355460509e-05)","('placa', 2.6276747010277932e-05)"
66,"('dos', 0.0006011521142492152)","('de', 1.1562203983323357e-07)","('auxiliar', 1.0351901028050749e-07)","('la', 9.621982881440838e-08)","('policia', 8.547331587922059e-08)"
67,"('habitacion', -0.007040147230440448)","('vez', 0.0023886493726843904)","('lugar', 0.002318164164347867)","('anos', 0.0021823514823068966)","('aqui', -0.0012885618216176623)"
68,"('celular', -0.00294348325748493)","('andar', 0.0007977570434475853)","('el', -1.271930672511796e-05)","('me', -7.717264523440023e-06)","('por', -6.852299713336861e-06)"
69,"('volver', -0.0048662312518222535)","('van', -0.0016432325784188622)","('para', 1.865753647258191e-05)","('banda', 8.62642498319454e-06)","('hacer', -8.040859388122608e-06)"
70,"('son', -0.025094767990067848)","('movil', -0.015276801650169055)","('bronx', 0.013786687035145559)","('no', -0.0006868199140793056)","('en', 0.0003639402659829198)"
71,"('adiccion', -0.011821940929690222)","('kawaii', -0.011790426335345106)","('celular', -0.01024672300022459)","('los', -0.0014495698426591243)","('animalitos', 0.00024210918965461147)"
72,"('manos', 0.0016069838044075596)","('peor', 0.0012634236849792407)","('social', -0.00123041101863536)","('sin', 0.00036713372018857236)","('ahi', 0.00019469717370221095)"
73,"('asi', 0.0015475175463620238)","('temible', 2.128108337909512e-07)","('operaba', 1.8727377512965138e-07)","('banda', 1.138851384874301e-07)","('la', 9.33081116455785e-08)"
74,"('cosquilleo', 3.32679796671737e-31)","('al', 2.8406266561186233e-31)","('dedicada', 1.1385155939498976e-31)","('desarticulan', 9.038647520900366e-32)","('banda', 8.549774213087741e-32)"
75,"('semaforos', -4.0025160391469803e-32)","('la', 2.7211692206306303e-32)","('calle', -6.0030571184444064e-33)","('taponada', -4.598548719089205e-33)","('por', 1.714721848321823e-33)"
76,"('santi', -0.020464010127655273)","('nos', -0.01274729303653073)","('y', 0.00036969333498246927)","('haga', 0.00027402423625075577)","('sumisos', -0.0002071562976683839)"
77,"('imbecil', -0.008628803475588058)","('seguir', 0.007320313806605425)","('man', -0.0015894836995637377)","('me', 0.0001287581254315732)","('moto', -0.00010206357237284064)"
78,"('usted', -0.004581615921033092)","('van', -0.0018474979779871828)","('ano', -0.0017004575436301535)","('com', -0.0006130260140247996)","('los', -0.000607468251282605)"
79,"('ciudad', -0.01251189694783449)","('opcion', -0.004390798172601554)","('real', -0.0008789572194257489)","('km', -8.299019588032943e-05)","('del', 5.66514532633617e-05)"
80,"('edad', 0.0010050610839492241)","('ley', 0.0009965390943654602)","('hoy', 0.00044121718682795506)","('menores', 1.477415634327364e-05)","('expliquen', 1.3782698100804822e-05)"
81,"('ley', 0.0010051723112920875)","('edad', 0.0009926467064229328)","('hoy', 0.00043558816994520205)","('que', 1.68407164166089e-05)","('expliquense', 1.4846813471036185e-05)"
82,"('tenian', 6.447841626282646e-32)","('mente', 4.810203508364293e-32)","('seguramente', 2.7553547777888626e-32)","('el', 1.0363515772770198e-32)","('en', -1.1284052913286866e-33)"
83,"('accion', -0.015277501723380925)","('cc', -0.010741093891258411)","('hoy', 0.004668058943637421)","('tres', -0.0023246766890935404)","('delincuencial', -0.001278998232658333)"
84,"('dias', 0.0013298914914021678)","('los', -0.00021487961799566936)","('mujeres', 2.069900702335138e-06)","('no', 2.005250620612698e-06)","('el', 1.8654171997894707e-06)"
85,"('asco', 0.0015162049166403478)","('da', 0.0011207397621904066)","('los', -0.00013393729595776607)","('o', 2.508232361980477e-05)","('fuman', -1.1601765293619936e-05)"
