,feature1,feature2,feature3,feature4,feature5
0,"('mujer', -0.015117728756762478)","('paz', -0.005409358870933518)","('erradicacion', 0.004424627477323206)","('corporacion', 0.004371065192614207)","('eje', 0.0032641004435651436)"
1,"('asi', -0.014714196473781862)","('nos', 0.010880965188164895)","('igual', -0.004475895522928845)","('no', 0.000139593223705988)","('las', 0.00010732530605864098)"
2,"('hpta', 0.015067669204043389)","('ciudad', -0.009471859832999823)","('desorden', 0.007840059611269608)","('drogas', 0.0053570032700321025)","('asco', 0.004234606526601451)"
3,"('esta', 1.5667283026267158e-33)","('prohibido', 6.453740146453788e-34)","('pero', 5.240400339200102e-34)","('normas', 4.545145499095212e-34)","('esto', 4.4691303610933685e-34)"
4,"('bus', -0.0055078438607998464)","('mal', -0.00465185148466183)","('bien', -0.0035148789210995286)","('indignacion', 0.0029675655710170545)","('ser', -0.0027527059787173054)"
5,"('ano', -0.010833366979978913)","('lo', -8.731692660660008e-07)","('corrido', -6.636974972370967e-07)","('en', -6.288261625647519e-07)","('del', -2.9389256136092187e-07)"
6,"('mas', -0.017275549083181213)","('ramon', 0.013182238125283734)","('tribunal', 0.013124666860503158)","('los', 0.0024614581223554124)","('superior', 0.0008736142076733864)"
7,"('mujer', -0.011306464114788422)","('capital', -0.0015645886924608348)","('corrupcion', -0.0005011877207676377)","('fue', -0.00020241007180767147)","('de', -0.00018527730045758174)"
8,"('favor', -0.015506978369550332)","('nos', 0.007986514064209624)","('ningun', -0.007189604498743795)","('localidades', -0.00019437413376878672)","('danaron', 0.00016428010822222645)"
9,"('dan', -0.010432663589466566)","('son', 0.006919381084250364)","('asco', 0.00364614743990612)","('los', 0.0032041356761386523)","('grafitis', -0.0006558566756787537)"
10,"('joyitas', -9.543178245153062e-34)","('que', 7.89653021973069e-34)","('denuncia', 6.063736397428671e-34)","('comerciante', -2.500630324448607e-34)","('fleteo', -1.998559585847665e-34)"
11,"('anos', -0.010960636478676873)","('los', 0.009310391065572984)","('sexual', -0.007812709530634525)","('de', -0.0002774436671003599)","('intrafamiliar', 4.0650999274392005e-05)"
12,"('asi', -0.00906574270535537)","('son', 0.005639497650482977)","('capital', -0.002471951507839754)","('plan', -0.0020807667589067456)","('lugar', -0.0014507951458921304)"
13,"('mujer', -0.011117788247193096)","('mas', -0.006583905730449614)","('dia', -0.004952302194322207)","('los', 0.004915357663344253)","('rodriguez', 0.0042673852761780364)"
14,"('persecucion', 0.005998070540592443)","('atencion', -0.005538323113225188)","('fontibon', 0.004083966966871648)","('los', 0.003416609939277757)","('de', -9.524775945088155e-05)"
15,"('unal', 0.007281394226831378)","('anos', -0.006321299808713929)","('ahi', -0.004843866114747838)","('vez', -0.00444075458593731)","('militar', -0.0028768000978227058)"
16,"('mas', -0.01617139278425424)","('favor', -0.008362304123993572)","('uneb', 0.00543282615240549)","('inclusion', 0.004663717513118882)","('los', 0.00381096472562886)"
17,"('vias', -0.01258098511135363)","('los', 0.007883700887859757)","('aseguramos', -5.451630292233591e-05)","('transito', 4.0969388229303794e-05)","('en', -3.7226726233992836e-05)"
18,"('dic', -0.008600438001043901)","('nov', 0.003590810503066442)","('concejal', -0.00310827172197125)","('loc', -0.0008515947353521473)","('usuga', -8.527976146668308e-05)"
19,"('celular', -0.008200784978576832)","('hdp', 0.0050511167724218995)","('feliz', 0.003989869501519029)","('el', 5.821413577434078e-05)","('y', 3.8123767576173656e-05)"
20,"('drogas', 0.011295154172166493)","('alcohol', -0.008424085514996555)","('esta', 1.503627739083741e-05)","('falta', -1.1455540907270271e-05)","('ni', 1.080128642533682e-05)"
21,"('van', -0.0076823611590696094)","('fin', -0.006124214717795688)","('los', 0.006038398894687691)","('ciudad', 0.00040342271529621924)","('con', -0.00010997773290632188)"
22,"('veo', -0.007099627630181352)","('esos', -1.4636946124503577e-06)","('buses', -1.230125047238451e-06)","('en', -1.1062051918296141e-06)","('mismos', -1.034459108228898e-06)"
23,"('lideres', 0.01892596623737137)","('dia', -0.014358099480914923)","('kennedy', -0.007942800436997015)","('pan', 0.0023233872989685163)","('de', -0.0002529045960746139)"
24,"('cartel', 0.01069525890762828)","('ver', -0.008407576835485122)","('son', 0.0033178222955805225)","('los', 0.0027089248670671535)","('estas', 0.0023317674910156017)"
25,"('bus', -0.011453915130050335)","('hombre', 0.007293200927837059)","('tres', -0.004370663298650867)","('celular', -0.002295025156333099)","('de', 0.00019210486501852503)"
26,"('mujer', -0.009302395756100937)","('mas', -0.008901827351972626)","('los', 0.007317757173332291)","('veo', -0.00030862033630142525)","('un', -0.00012834189573564494)"
27,"('denuncian', 2.6113053551158882e-33)","('nuevo', 2.513396213423402e-33)","('de', 2.3199714444610377e-33)","('caso', 2.042527318827223e-33)","('intento', 1.1170151864702629e-33)"
28,"('muy', 0.0)","('seguramente', 0.0)","('el', 0.0)","('propietario', 0.0)","('esta', 0.0)"
29,"('celular', -0.009759665431404312)","('a', -2.4418112631018095e-06)","('uno', -2.022296578851899e-06)","('cuando', -2.0035511880351986e-06)","('lo', -1.7670683855519923e-06)"
30,"('tal', 0.007802372645278309)","('los', 0.006659421192964261)","('anos', -0.006090978214754395)","('sin', -0.0038953427299943696)","('ver', -0.0037022628793479386)"
31,"('mas', -0.023909109286436993)","('encantaria', -6.5917459772743025e-06)","('me', -6.061224973220297e-06)","('que', -4.8377314426021945e-06)","('cada', -3.939703608251734e-06)"
32,"('van', -0.014978390499214303)","('de', -3.8124197224533683e-06)","('victimas', -3.7863949090872765e-06)","('hay', -3.7844118689282617e-06)","('homofobia', -3.6406291386395115e-06)"
33,"('via', -0.01363083214272118)","('demostracion', 0.004599361080065268)","('los', 0.00407316484727057)","('tweet', 0.002396020528942982)","('cai', 0.0009676589095244238)"
34,"('son', 0.006953935499781906)","('gran', -0.00287500750542347)","('de', -3.180502884104557e-05)","('caso', 3.1753769525564485e-05)","('el', -2.841710882658609e-05)"
35,"('los', 0.006188051253991151)","('movilizarse', 1.3876950417238477e-06)","('en', 1.0868339135629917e-06)","('bogota', 1.0677744527205428e-06)","('es', 9.63773040195935e-07)"
